Country,State,StateCode,City,Suburb,Average of PostCode,PropertyMedianValue,Average of Average of Latitude,Average of Average of Longitude,UpdatedMonth,UpdatedYear
Australia,New South Wales,NSW,Blue Mountains,Theresa Park,2570,0,-34.007922,150.639915,0,0
Australia,New South Wales,NSW,Blue Mountains,Wallerawang,2845,0,-33.410618,150.062597,0,0
Australia,New South Wales,NSW,Blue Mountains,Werombi,2570,0,-33.988918,150.57174,0,0
Australia,New South Wales,NSW,Blue Mountains,Wheeny Creek,2758,0,-33.429767,150.811149,0,0
Australia,New South Wales,NSW,Blue Mountains,Wilton,2571,0,-34.240434,150.696426,0,0
Australia,New South Wales,NSW,Brisbane,Brisbane Grove,2580,0,-34.786689,149.702842,0,0
Australia,New South Wales,NSW,Brisbane,Ultimo,2007,1051540,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Alexandria,2015,945000,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Beaconsfield,2015,945000,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Broken Hill,2880,0,-31.959193,141.466614,0,0
Australia,New South Wales,NSW,Broken Hill,Broken Hill North,2880,0,-31.950359,141.45619,0,0
Australia,New South Wales,NSW,Broken Hill,Broken Hill West,2880,0,-31.965867,141.444081,0,0
Australia,New South Wales,NSW,Broken Hill,Burns,2880,0,-32.043365,141.195887,0,0
Australia,New South Wales,NSW,Broken Hill,Cameron Corner,2880,0,-29.001582,141.001978,0,0
Australia,New South Wales,NSW,Broken Hill,Chippendale,2008,1052500,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Darlinghurst,2010,1250000,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Darlington,2008,1052500,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Elizabeth Bay,2011,850000,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Euriowie,2880,0,-31.435409,141.641063,0,0
Australia,New South Wales,NSW,Broken Hill,Eveleigh,2015,945000,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Fowlers Gap,2880,0,-31.091457,141.705399,0,0
Australia,New South Wales,NSW,Broken Hill,Hmas Kuttabul,2011,850000,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Kinalung,2880,0,-32.062484,141.960232,0,0
Australia,New South Wales,NSW,Broken Hill,Little Topar,2880,0,-31.710493,142.576981,0,0
Australia,New South Wales,NSW,Broken Hill,Milparinka,2880,0,-30.240564,142.111152,0,0
Australia,New South Wales,NSW,Broken Hill,Mount Gipps,2880,0,-31.897755,141.595281,0,0
Australia,New South Wales,NSW,Broken Hill,Packsaddle,2880,0,-30.874708,141.785678,0,0
Australia,New South Wales,NSW,Broken Hill,Potts Point,2011,850000,,,6,2017
Australia,New South Wales,NSW,Broken Hill,Pyrmont,2009,985000,,,6,2017
